trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.25, 'e': 0.9900498337491681}",25,0,-193.60844689463963,"{0: 12, 1: 5, 2: 4, 3: 1, 4: 3}",0
2,False,"{'a': 0.25, 'e': 0.9801986733067553}",25,0,-52.502320792139706,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.25, 'e': 0.9704455335485082}",25,0,-64.47326607448447,"{0: 17, 1: 5, 2: 2, 3: 0, 4: 1}",0
4,False,"{'a': 0.25, 'e': 0.9607894391523232}",25,0,-109.60566164383002,"{0: 13, 1: 3, 2: 7, 3: 2, 4: 0}",0
5,False,"{'a': 0.25, 'e': 0.951229424500714}",30,0,-249.20149474930548,"{0: 16, 1: 2, 2: 6, 3: 2, 4: 4}",0
6,False,"{'a': 0.25, 'e': 0.9417645335842487}",30,0,-212.19332087822437,"{0: 14, 1: 7, 2: 5, 3: 1, 4: 3}",0
7,False,"{'a': 0.25, 'e': 0.9323938199059483}",25,0,-110.78741426826194,"{0: 15, 1: 1, 2: 6, 3: 3, 4: 0}",0
8,False,"{'a': 0.25, 'e': 0.9231163463866358}",25,0,-73.32028402484869,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.25, 'e': 0.9139311852712282}",35,0,-224.6316299727965,"{0: 20, 1: 3, 2: 7, 3: 2, 4: 3}",0
10,False,"{'a': 0.25, 'e': 0.9048374180359595}",35,0,-92.9994947915489,"{0: 25, 1: 3, 2: 5, 3: 1, 4: 1}",0
11,False,"{'a': 0.25, 'e': 0.8958341352965282}",20,0,-117.5205243948699,"{0: 9, 1: 5, 2: 4, 3: 1, 4: 1}",0
12,False,"{'a': 0.25, 'e': 0.8869204367171575}",25,0,-154.40887792788402,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
13,False,"{'a': 0.25, 'e': 0.8780954309205613}",25,0,-251.409006058843,"{0: 12, 1: 1, 2: 6, 3: 2, 4: 4}",0
14,False,"{'a': 0.25, 'e': 0.8693582353988059}",25,0,-56.7991987931713,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
15,False,"{'a': 0.25, 'e': 0.8607079764250578}",20,0,-129.22553406659208,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
16,False,"{'a': 0.25, 'e': 0.8521437889662113}",35,0,-107.29742825656794,"{0: 22, 1: 7, 2: 4, 3: 1, 4: 1}",0
17,False,"{'a': 0.25, 'e': 0.8436648165963837}",20,7,-47.79990556442156,"{0: 9, 1: 0, 2: 2, 3: 2, 4: 0}",1
18,False,"{'a': 0.25, 'e': 0.835270211411272}",25,0,-99.61031706661005,"{0: 14, 1: 7, 2: 2, 3: 1, 4: 1}",0
19,False,"{'a': 0.25, 'e': 0.8269591339433623}",20,7,10.488152404900578,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.25, 'e': 0.8187307530779818}",30,15,-58.011461702864096,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 1}",1
21,False,"{'a': 0.25, 'e': 0.8105842459701871}",35,0,-105.96154972154376,"{0: 23, 1: 6, 2: 4, 3: 1, 4: 1}",0
