trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-155.56198848668575,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,12,-32.929876351514785,"{0: 6, 1: 0, 2: 0, 3: 2, 4: 0}",1
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-121.42963926769576,"{0: 10, 1: 4, 2: 3, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-170.9309019509297,"{0: 17, 1: 4, 2: 5, 3: 2, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-72.8485974792511,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-90.32431745351776,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-134.93958806080204,"{0: 12, 1: 3, 2: 1, 3: 2, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-92.29329786429902,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-187.68174490354312,"{0: 10, 1: 3, 2: 8, 3: 3, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-78.53282282853343,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-141.88119474526698,"{0: 9, 1: 5, 2: 9, 3: 2, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-129.46318242560181,"{0: 7, 1: 3, 2: 8, 3: 2, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-109.96517520410606,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-26.436002330281582,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-100.19851545665853,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-144.25689683661997,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-93.87563554938198,"{0: 14, 1: 1, 2: 9, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",35,21,-60.66675179908004,"{0: 8, 1: 3, 2: 2, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-56.756236233818534,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,15,-61.80128212975748,"{0: 6, 1: 2, 2: 0, 3: 1, 4: 1}",1
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-142.70074926870487,"{0: 18, 1: 3, 2: 7, 3: 0, 4: 2}",0
